,engagement_count,bet_intent_count
FIXTURE:ufo:mtch:1v7-01y,1408,1408
FIXTURE:ufo:mtch:1ve-00r,1319,1319
FIXTURE:ufo:mtch:1v7-026,1310,1310
FIXTURE:ufo:mtch:1vr-04j,1280,1280
FIXTURE:ufo:mtch:1vc-00q,1241,1241
FIXTURE:ufo:mtch:1vd-01m,1188,1188
FIXTURE:ufo:mtch:1ve-01t,1168,1168
FIXTURE:ufo:mtch:1vk-06v,1128,1128
FIXTURE:ufo:mtch:1vd-010,1097,1097
FIXTURE:ufo:mtch:1vd-01l,1088,1088
FIXTURE:ufo:mtch:1ve-01w,1064,1064
FIXTURE:ufo:mtch:1vd-01r,1011,1011
FIXTURE:ufo:mtch:1v7-024,963,963
FIXTURE:ufo:mtch:1v7-040,951,951
FIXTURE:ufo:mtch:1v3-00b,938,938
FIXTURE:ufo:mtch:1vi-04i,922,922
FIXTURE:ufo:mtch:1vy-01p,911,911
FIXTURE:ufo:mtch:1vy-01t,910,910
FIXTURE:ufo:mtch:1vi-04m,899,899
FIXTURE:ufo:mtch:1v7-00r,896,896
FIXTURE:ufo:mtch:1vj-01b,895,895
FIXTURE:ufo:mtch:1v7-010,850,850
FIXTURE:ufo:mtch:1vd-02w,794,794
FIXTURE:ufo:mtch:1vk-0e0,784,784
FIXTURE:ufo:mtch:1vy-01r,773,773
FIXTURE:ufo:mtch:1vk-0e3,769,769
FIXTURE:ufo:mtch:1ux-04m,757,757
FIXTURE:ufo:mtch:1vk-0e4,748,748
FIXTURE:ufo:mtch:1vg-02k,734,734
FIXTURE:ufo:mtch:1v0-08p,709,709
FIXTURE:ufo:mtch:1ve-09c,708,708
FIXTURE:ufo:mtch:1vi-044,685,685
FIXTURE:ufo:mtch:1v7-011,647,647
FIXTURE:ufo:mtch:1v6-01z,645,645
FIXTURE:ufo:mtch:1vk-02e,641,641
FIXTURE:ufo:mtch:1v6-01y,639,639
FIXTURE:ufo:mtch:1vl-01e,636,636
FIXTURE:ufo:mtch:1vl-0co,628,628
FIXTURE:ufo:mtch:1v7-00z,624,624
FIXTURE:ufo:mtch:1uz-01i,621,621
FIXTURE:ufo:mtch:1v2-02z,620,620
FIXTURE:ufo:mtch:1v0-05x,597,597
FIXTURE:ufo:mtch:1v0-05e,592,592
FIXTURE:ufo:mtch:1vi-05m,591,591
FIXTURE:ufo:mtch:1ux-01p,588,588
FIXTURE:ufo:mtch:1uz-09h,578,578
FIXTURE:ufo:mtch:1vg-02n,566,566
FIXTURE:ufo:mtch:1vi-03u,562,562
FIXTURE:ufo:mtch:1vj-03g,554,554
FIXTURE:ufo:mtch:1v4-03o,553,553
FIXTURE:ufo:mtch:1vd-0az,548,548
FIXTURE:ufo:mtch:1uz-0gv,546,546
FIXTURE:ufo:mtch:1v7-0aw,545,545
FIXTURE:ufo:mtch:1vi-03y,543,543
FIXTURE:ufo:mtch:1vl-01m,540,540
FIXTURE:ufo:mtch:1ux-04l,531,531
FIXTURE:ufo:mtch:1ux-04z,529,529
FIXTURE:ufo:mtch:1vg-02j,529,529
FIXTURE:ufo:mtch:1vk-06z,525,525
FIXTURE:ufo:mtch:1ux-04w,519,519
FIXTURE:ufo:mtch:1ux-03r,509,509
FIXTURE:ufo:mtch:1vc-064,505,505
FIXTURE:ufo:mtch:1uy-01n,500,500
FIXTURE:ufo:mtch:1ux-04v,495,495
FIXTURE:ufo:mtch:1vm-039,493,493
FIXTURE:ufo:mtch:1ux-03s,492,492
FIXTURE:ufo:mtch:1ve-0py,489,489
FIXTURE:ufo:mtch:1vm-02f,485,485
FIXTURE:ufo:mtch:1vk-08o,483,483
FIXTURE:ufo:mtch:1v8-00h,481,481
FIXTURE:ufo:mtch:1v9-03e,481,481
FIXTURE:ufo:mtch:1ux-04k,478,478
FIXTURE:ufo:mtch:1v5-06g,471,471
FIXTURE:ufo:mtch:1uv-04m,470,470
FIXTURE:ufo:mtch:1vk-0dx,469,469
FIXTURE:ufo:mtch:1uz-03a,467,467
FIXTURE:ufo:mtch:1ux-053,454,454
FIXTURE:ufo:mtch:1uv-039,452,452
FIXTURE:ufo:mtch:1ux-04t,451,451
FIXTURE:ufo:mtch:1vg-02l,447,447
FIXTURE:ufo:mtch:1uv-04n,445,445
FIXTURE:ufo:mtch:1uv-01n,443,443
FIXTURE:ufo:mtch:1uz-08q,440,440
FIXTURE:ufo:mtch:1vl-03c,439,439
FIXTURE:ufo:mtch:1vi-03n,431,431
FIXTURE:ufo:mtch:1v4-022,426,426
FIXTURE:ufo:mtch:1uw-06c,425,425
