node,count
SCREEN:unknown_SB Android,315950
ACTION:betslip_placed_bet,143826
ACTION:betslip_add_bet,129327
SCREEN:liveDetail,117960
SCREEN:ticketDetail,98697
SCREEN:ticketHistory,80294
SCREEN:liveEvents,78491
ACTION:betslip_repeat_from_history,56004
SCREEN:prematchLeagues,41119
SCREEN:prematchDetail,40484
SCREEN:prematchMatchesOverview,33691
ACTION:betslip_placed,25967
SCREEN:competition_detail,24844
SCREEN:betslip,20301
PAGE:/user/betslips,19296
SCREEN:homepage,17279
PAGE:/oklade,16765
SCREEN:prematchSports,12013
PAGE:/oklade/tenis,10229
PAGE:/,5752
SCREEN:my_account,5009
PAGE:/oklade/kosarka,4716
PAGE:/oklade/nogomet,4648
PAGE:/oklade/enogomet,4289
SCREEN:unknown_Casino Android,3263
SCREEN:webViewunknown,3158
PAGE:/my-account,2473
SCREEN:accounts_web_view,2425
SCREEN:ticket,2012
SCREEN:account,1764
PAGE:/my-account/deposit,1720
PAGE:/oklade/rukomet,1481
FIXTURE:ufo:mtch:1v7-01y,1408
FIXTURE:ufo:mtch:1ve-00r,1319
FIXTURE:ufo:mtch:1v7-026,1310
FIXTURE:ufo:mtch:1vr-04j,1280
FIXTURE:ufo:mtch:1vc-00q,1241
FIXTURE:ufo:mtch:1vd-01m,1188
FIXTURE:ufo:mtch:1ve-01t,1168
FIXTURE:ufo:mtch:1vk-06v,1128
FIXTURE:ufo:mtch:1vd-010,1097
FIXTURE:ufo:mtch:1vd-01l,1088
FIXTURE:ufo:mtch:1ve-01w,1064
FIXTURE:ufo:mtch:1vd-01r,1011
FIXTURE:ufo:mtch:1v7-024,963
PAGE:/oklade/ekosarka,961
FIXTURE:ufo:mtch:1v7-040,951
FIXTURE:ufo:mtch:1v3-00b,938
SCREEN:menu,924
FIXTURE:ufo:mtch:1vi-04i,922
FIXTURE:ufo:mtch:1vy-01p,911
FIXTURE:ufo:mtch:1vy-01t,910
FIXTURE:ufo:mtch:1vi-04m,899
FIXTURE:ufo:mtch:1v7-00r,896
FIXTURE:ufo:mtch:1vj-01b,895
FIXTURE:ufo:mtch:1v7-010,850
FIXTURE:ufo:mtch:1vd-02w,794
FIXTURE:ufo:mtch:1vk-0e0,784
PAGE:/oklade/odbojka,776
FIXTURE:ufo:mtch:1vy-01r,773
FIXTURE:ufo:mtch:1vk-0e3,769
FIXTURE:ufo:mtch:1ux-04m,757
FIXTURE:ufo:mtch:1vk-0e4,748
